word,mean
the,"그, 저, 가장 적절한, 가장 중요한"
of,"~의, ~으로부터, ~을/를, ~대한"
and,"그리고, ~와, ~고, 그래서"
to,"~쪽으로, ~까지, ~에 대한, ~을 위한"
in,"~안에, ~으로, ~에, ~하는 중에"
a,글 속에 처음 언급되는 단수형 명사 앞에 쓰임
that,"저것, 저, 그, 그렇게, 그만큼, 그정도"
for,"~을 위하여, ~의, ~에 대해, ~을 대표하여"
as,"~처럼, ~으로서, ~하면서, ~만큼, ~한, ~하는 동안"
with,"~와 함께, ~때문에, ~을 가진, ~이 달린, ~을 써서"
i,"나는, 나, 내가"
not,"않다, 아니다, 없다"
on,"위에, 계속하여, ~에, ~의 표면에"
it,"그것, 이것"
be,"있다, 존재하다, 위치하다, 참석하다"
by,"~에 의하여, ~옆에, ~까지는, ~을 지나, ~동안에"
or,"또는, 혹은, 즉, ~이나"
from,"~에서, ~으로부터, ~출신의, ~에서 떨어진"
he,"그, 그는, 그것은, 그 사람은, 남자, 수컷"
at,"~에서, ~에 있는, ~에 있어서, ~의 상태에"
you,"당신, 너, 여러분, 자네"
have,"가지다, 얻다, 걸리다, 낳다, 소유하다, 먹다"
this,"이, 이것, 이 정도로, 이렇게"
which,"어느, 어떤 사람(들), 어느 것"
but,"그러나, 하지만, 뿐만 아니라, 아니면, ~외에, 오직"
they,"그들, 그것들, 사람들, 저들"
all,"모든, 모두, 전혀, 최대한의, 완전히, 온통, 아주"
one,"한 번, 하나, 어느, 유일한, 한 개"
can,"할 수 있다, 할 줄 알다, 해도된다"
we,우리
will,"~할 것이다, ~일 것이다, 의도하다, 의지, 유언"
more,"더 많은 수의, 더 많이, 이상으로, 또한 더욱"
she,"그녀, 그 여자, 여성, 암컷"
who,"누구, 어느 사람"
other,"다른, 다른 사람, 기타의, 나머지의, 반면에"
do,"하다, 해나가다, 되어가다, 공부하다, 해결하다"
so,"그래서, 그렇다면, 그렇게, 그러니, 따라서"
when,"언제, 경우, 때 얼마쯤에서"
there,"거기에, 그곳에, 있는(존재하는)"
out,"밖에, 벗어나서, 밖으로, 틀린, 가능하지 않는"
into,"안으로, 속으로, ~방향으로, ~대한 관련된"
time,"시간, 때, 시기, 동안, 당시, 곱(배), 시간의"
about,"약, 좀, 거의, ~에 대하여, ~대한, ~주위의"
than,"~보다, ~보다는, ~의외의, 다름 아닌"
not,"없다, 아니다, ~하지 말다, 부인하다, 반대"
if,"만약, ~라면, 만일"
up,"위쪽, 위쪽으로, 위로 향한, 완전히, 올리다"
what,"무엇, 몇, 어떤, 무슨, 정말"
also,"또한, 게다가, 역시"
some,"조금, 일부의, 어떤, 일부, 약"
may,"~일지 모른다, ~일 수도 있다, ~해도 좋다, 5월"
only,"유일한, 단 하나의, 불과, 단지, ~하지 않다면"
